Split,R2,MAE,RMSE,Spearman,Target,Target_column,Feature_set,Model
84,-0.188259980157103,0.06171248363160192,0.07276137763498719,0.38095238095238104,Pr,Pr_mean,core,LinearRegression
85,0.7609968295039116,0.033522909253781985,0.03977238343283392,0.6666666666666669,Pr,Pr_mean,core,LinearRegression
86,-0.12462410427315462,0.05809751675306496,0.06572200891813555,0.8333333333333335,Pr,Pr_mean,core,LinearRegression
87,-0.15964290464771613,0.050754941275994905,0.059511984227857986,0.5000000000000001,Pr,Pr_mean,core,LinearRegression
88,0.632036090438568,0.03992812383523825,0.045767931441255835,0.6904761904761906,Pr,Pr_mean,core,LinearRegression
89,0.23477709832578708,0.08585274812788413,0.1284952265405181,0.6666666666666669,Pr,Pr_mean,core,LinearRegression
90,0.27374283837633584,0.05209864112061405,0.07262004535978782,0.3571428571428572,Pr,Pr_mean,core,LinearRegression
91,0.6674393413813823,0.048474904502639415,0.06379848175823073,0.8571428571428572,Pr,Pr_mean,core,LinearRegression
92,-0.2801502174086459,0.03982393018634907,0.04700722595173375,0.28571428571428575,Pr,Pr_mean,core,LinearRegression
93,-0.6050628065904355,0.07773209393773656,0.09153471147136776,0.19047619047619052,Pr,Pr_mean,core,LinearRegression
94,0.3888815064891846,0.06608564519153425,0.11094759265979341,0.7619047619047621,Pr,Pr_mean,core,LinearRegression
95,-0.010810716739945825,0.05950472265559689,0.07585164087884963,0.7142857142857144,Pr,Pr_mean,core,LinearRegression
96,0.44259874392341614,0.04697999481764921,0.056326896241434145,0.7142857142857144,Pr,Pr_mean,core,LinearRegression
97,-0.3738516413900248,0.0599374318412875,0.06432760794454238,0.6190476190476191,Pr,Pr_mean,core,LinearRegression
98,-2.7351128465171994,0.06127604768591931,0.08647907086075259,0.19047619047619052,Pr,Pr_mean,core,LinearRegression
99,0.14582449259897734,0.04960170986601478,0.061662864717968155,0.7619047619047621,Pr,Pr_mean,core,LinearRegression
100,-0.004913004467500759,0.10686560176916694,0.1490822578441729,0.9047619047619048,Pr,Pr_mean,core,LinearRegression
1,-0.20998906726775202,0.06660899383915343,0.08294575237156174,0.19047619047619052,Pr,Pr_mean,core,SVR_RBF
2,0.4519099307275275,0.066446123619731,0.07197792286387573,0.7380952380952381,Pr,Pr_mean,core,SVR_RBF
3,0.005613852237408512,0.061902888714735135,0.09068040810103756,0.4761904761904762,Pr,Pr_mean,core,SVR_RBF
4,0.5761588757206819,0.06824609456468218,0.09618439841174753,0.7142857142857144,Pr,Pr_mean,core,SVR_RBF
5,-1.412947202693208,0.054765386454210696,0.060391801570004386,0.261904761904762,Pr,Pr_mean,core,SVR_RBF
6,-0.3661754577714107,0.06463972929023544,0.07779218222700246,0.6227656561948947,Pr,Pr_mean,core,SVR_RBF
7,0.031107015853620745,0.1161072977175847,0.15505435545772112,0.3571428571428572,Pr,Pr_mean,core,SVR_RBF
8,0.611532348538258,0.03785151919428961,0.042445374079629,0.8333333333333335,Pr,Pr_mean,core,SVR_RBF
9,0.0008078155624344774,0.060487047120022924,0.07008753786775009,0.523809523809524,Pr,Pr_mean,core,SVR_RBF
10,-0.1842360419080613,0.04329840397505694,0.050356185565783605,0.4047619047619048,Pr,Pr_mean,core,SVR_RBF
11,-0.4207230546967575,0.08878098471990992,0.09816962387804022,-0.4047619047619048,Pr,Pr_mean,core,SVR_RBF
12,0.36376213121391143,0.09300673540340695,0.12008584283796442,0.7142857142857144,Pr,Pr_mean,core,SVR_RBF
13,0.2974036104964801,0.04355167793781477,0.05583700814354105,0.8333333333333335,Pr,Pr_mean,core,SVR_RBF
14,0.42267459423244536,0.04825867676259864,0.055212439296726125,0.7142857142857144,Pr,Pr_mean,core,SVR_RBF
